KT3D ESTIMATES WITH:  pygeostat_saved_data                                      
    2   51   59    1
Estimate
EstimationVariance
 4.2285028     0.15945829    
 3.1537843     0.25097400    
 2.0477617     0.23729087    
 1.0441737     0.13650975    
0.61649811     0.18021049    
 1.0862520     0.35031828    
 2.6532953     0.50659299    
 4.6948371     0.63019830    
 6.4057450     0.71224874    
 7.1145444     0.74793249    
 7.2961211     0.73057699    
 7.4685187     0.65949750    
 7.4360433     0.54453236    
 7.1716733     0.41413596    
 6.6412611     0.32391605    
 6.3264375     0.31841978    
 6.2205496     0.33845145    
 6.4927983     0.32464352    
 7.1259141     0.29568395    
 7.9634233     0.31463405    
 8.9100237     0.36908090    
 9.8591299     0.39461204    
 10.683702     0.37506917    
 11.191109     0.35326990    
 11.197096     0.39588600    
 10.771622     0.50262922    
 10.095324     0.62719798    
 9.7232161     0.73845690    
 9.0472231     0.83230919    
 4.6607156     0.53797430    
 4.1707540     0.43135977    
 3.6214027     0.38539743    
 2.8913000     0.38070852    
 2.3724067     0.35672048    
 2.8606300     0.28630406    
 4.2110486     0.19727302    
 5.8633528     0.19041698    
 6.5213747     0.28280902    
 5.9850960     0.35578457    
 5.3112879     0.36218631    
 4.7829423     0.29981029    
 3.4832332     0.21178363    
 2.8123295     0.21295184    
 2.1928921     0.27173835    
 1.6729207     0.26888978    
 1.8116355     0.17079967    
 3.2912140     0.32374322E-01
 6.1953874     0.14220566    
 7.2029815     0.20953803    
 6.4113426     0.16759646    
 4.9451838     0.30010058E-01
 3.9841907     0.14379308    
 3.0483387     0.23229107    
 2.0365798     0.17914164    
0.95935661     0.30210288E-01
0.63467544     0.15915495    
 1.0728749     0.34483856    
 3.0976405     0.50355119    
 5.2795630     0.62908840    
 6.8358188     0.71221125    
 7.2969909     0.74972373    
 7.2702675     0.73368496    
 7.1728411     0.66702849    
 6.8394442     0.56680912    
 6.0677814     0.46307531    
 5.5654235     0.39908183    
 5.2949076     0.38435304    
 5.3334346     0.38166159    
 5.7648835     0.36776060    
 6.5018139     0.36144629    
 7.4927363     0.38727772    
 8.5183020     0.42462242    
 9.4666176     0.43898731    
 10.198474     0.42972520    
 10.552666     0.43281356    
 10.454649     0.48313740    
 9.9880114     0.57278484    
 9.6215591     0.67285967    
 8.9297304     0.76685095    
 8.3321362     0.84534723    
 5.5976696     0.42310837    
 4.9193478     0.30610421    
 3.7753184     0.29246852    
 2.7719946     0.32501206    
 2.3813472     0.31760788    
 3.4760091     0.26859334    
 5.8357925     0.23002388    
 7.7850194     0.25785032    
 7.7205777     0.32952037    
 7.1514091     0.37913755    
 6.3317056     0.37607110    
 5.4280148     0.32743248    
 4.1282392     0.28212968    
 3.0093071     0.28623065    
 2.1957901     0.29893753    
 1.9591905     0.25919017    
 2.9678235     0.16191939    
 5.9976411     0.10380113    
 8.9966145     0.15087606    
 8.6535254     0.18315960    
 6.3781857     0.14024618    
 4.6476893     0.83763048E-01
 3.8708720     0.18799266    
 3.1314812     0.23168707    
 2.1795671     0.15542702    
 1.1385808     0.69121912E-01
0.87589765     0.17983674    
 1.5090816     0.34924221    
 3.7513747     0.50789285    
 5.9668946     0.63407588    
 7.2215786     0.71842182    
 7.4115567     0.75767952    
 7.1344976     0.74290103    
 6.7366905     0.68257761    
 6.0705094     0.59640807    
 5.0909266     0.50961119    
 4.5590253     0.45240194    
 4.3461161     0.42443514    
 4.5133910     0.40867719    
 5.1073828     0.39946800    
 6.0007339     0.40748006    
 7.0913444     0.43581784    
 8.1743727     0.46472493    
 9.1025791     0.47623497    
 9.7319269     0.47712043    
 9.9447746     0.49424866    
 9.7431488     0.54445970    
 9.4696989     0.61910653    
 8.7846174     0.70334226    
 8.0783386     0.78159499    
 7.5603318     0.84648800    
 5.7770805     0.30110350    
 5.1666231     0.17369637    
 3.9148233     0.22199193    
 2.6433158     0.28616068    
 2.4620304     0.28122950    
 4.4732943     0.24641304    
 8.1404390     0.24421433    
 9.9102869     0.29376554    
 9.4249983     0.35893995    
 8.2502527     0.39580953    
 7.4807620     0.39173570    
 6.2335157     0.35938579    
 4.4798789     0.33377126    
 3.4250414     0.32744485    
 2.4553485     0.30584276    
 2.4347816     0.24542131    
 4.6454854     0.17100587    
 9.3785534     0.12789041    
 12.128122     0.11948631    
 9.4629564     0.16285989    
 5.8542795     0.15538041    
 4.0571647     0.16693467    
 3.8842416     0.23264268    
 3.4160802     0.23918831    
 2.5377626     0.16097789    
 1.4769826     0.94662629E-01
 1.3698447     0.18397602    
 2.2195890     0.35830706    
 4.1331296     0.51989985    
 6.6795464     0.64441442    
 7.5275335     0.73007292    
 7.4376431     0.76994759    
 7.0343256     0.75727844    
 6.1738210     0.70116204    
 4.9882431     0.62119079    
